令和3年経済センサス‐活動調査　製造業（地域別統計表データ）　令和5(2023)年12月15日訂正,,,,,,,,,,,
,,,,,,,,,,,
１．都道府県別、東京特別区・政令指定都市別統計表,,,,,,,,,,,
"Statistical Tables by Prefecture, Tokyo Special Wards and Government-designated Cities",,,,,,,,,,,
第１表  産業中分類別事業所数、従業者数、事業に従事する者の人件費及び派遣受入者に係る人材派遣会社への支払額、原材料・燃料・電力の使用額等、製造品出荷額等及び付加価値額（従業者４人以上の事業所）,,,,,,,,,,,
"Number of establishments, Number of employees, Total cash wages and salaries paid for persons engaged and temporary staff services, Cost of raw materials, fuels and electricity consumed, Value of manufactured goods shipments, and Value added, by Industry (2-digit industrial classification) (Establishments with 4 or more employees)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,事業所数,従業者数,事業に従事する者の人件費及び派遣受入者に係る人材派遣会社への支払額,原材料・燃料・電力の使用額等,製造品出荷額等,付加価値額（従業者29人以下は粗付加価値額）
時間軸コード,年次,産業中分類コード,産業中分類名,都道府県、東京特別区・政令指定都市コード,都道府県、東京特別区・政令指定都市名,,人,百万円,百万円,百万円,百万円
2020000000,2020,09,食料品製造業,64,千葉市,69,6063,25621,220577,339418,99452
2020000000,2020,09,食料品製造業,65,東京特別区,452,13795,48851,181119,333743,134227
2020000000,2020,09,食料品製造業,66,横浜市,179,15877,56221,358524,582179,194551
2020000000,2020,09,食料品製造業,67,川崎市,66,6583,25259,172907,274125,91974
2020000000,2020,09,食料品製造業,68,相模原市,44,7012,24056,80100,132177,44427
2020000000,2020,09,食料品製造業,69,新潟市,163,10911,34056,123847,269190,127146
2020000000,2020,09,食料品製造業,70,静岡市,175,7204,23153,145618,209216,49686
2020000000,2020,09,食料品製造業,71,浜松市,122,4410,12907,43434,88450,39866
2020000000,2020,09,食料品製造業,72,名古屋市,266,10186,34408,169669,271472,88794
2020000000,2020,09,食料品製造業,73,京都市,250,7560,23027,62600,121934,51584
2020000000,2020,09,食料品製造業,74,大阪市,286,10998,33632,151722,245841,81884
2020000000,2020,09,食料品製造業,75,堺市,64,4180,11303,71714,115877,38647
2020000000,2020,09,食料品製造業,76,神戸市,221,17882,68013,430062,713664,239020
2020000000,2020,09,食料品製造業,77,岡山市,99,5312,16490,63097,133355,61823
2020000000,2020,09,食料品製造業,78,広島市,159,8588,28831,123933,213810,80070
2020000000,2020,09,食料品製造業,79,北九州市,101,4402,11970,42870,75339,27887
2020000000,2020,09,食料品製造業,80,福岡市,197,9768,27289,144693,235045,78496
2020000000,2020,09,食料品製造業,81,熊本市,117,4447,14274,72089,114641,24401
2020000000,2020,10,飲料・たばこ・飼料製造業,00,全国計,4093,102880,433969,3896643,9275727,2759855
2020000000,2020,10,飲料・たばこ・飼料製造業,01,北海道,217,4032,15547,143951,252165,67131
2020000000,2020,10,飲料・たばこ・飼料製造業,02,青森県,66,1379,4995,86349,111140,21091
2020000000,2020,10,飲料・たばこ・飼料製造業,03,岩手県,64,1021,3073,18733,48163,25496
2020000000,2020,10,飲料・たばこ・飼料製造業,04,宮城県,85,2011,8869,119761,205731,49100
2020000000,2020,10,飲料・たばこ・飼料製造業,05,秋田県,46,900,3427,6168,18545,7460
2020000000,2020,10,飲料・たばこ・飼料製造業,06,山形県,75,1491,5339,28261,43618,11144
2020000000,2020,10,飲料・たばこ・飼料製造業,07,福島県,81,1372,4986,25663,116635,49083
2020000000,2020,10,飲料・たばこ・飼料製造業,08,茨城県,88,3043,14134,320010,563794,117827
2020000000,2020,10,飲料・たばこ・飼料製造業,09,栃木県,60,2137,9884,113906,789676,147758
2020000000,2020,10,飲料・たばこ・飼料製造業,10,群馬県,69,3355,19192,170444,354917,127904
2020000000,2020,10,飲料・たばこ・飼料製造業,11,埼玉県,79,2695,10873,135499,183093,31052
2020000000,2020,10,飲料・たばこ・飼料製造業,12,千葉県,98,4285,18348,136717,400402,149125
2020000000,2020,10,飲料・たばこ・飼料製造業,13,東京都,43,1381,6016,49900,92373,16962
2020000000,2020,10,飲料・たばこ・飼料製造業,14,神奈川県,65,3234,14432,135188,345945,126940
2020000000,2020,10,飲料・たばこ・飼料製造業,15,新潟県,117,2482,10738,29459,67954,27242
2020000000,2020,10,飲料・たばこ・飼料製造業,16,富山県,41,1209,4617,41494,58421,13633
2020000000,2020,10,飲料・たばこ・飼料製造業,17,石川県,40,634,2464,3836,11167,5734
2020000000,2020,10,飲料・たばこ・飼料製造業,18,福井県,28,413,1319,1128,14130,9595
2020000000,2020,10,飲料・たばこ・飼料製造業,19,山梨県,108,3106,13951,71943,172447,121499
2020000000,2020,10,飲料・たばこ・飼料製造業,20,長野県,130,3553,15755,81852,138397,41862
2020000000,2020,10,飲料・たばこ・飼料製造業,21,岐阜県,76,1476,5872,40905,74909,26367
2020000000,2020,10,飲料・たばこ・飼料製造業,22,静岡県,486,11166,43970,330854,967178,351642
2020000000,2020,10,飲料・たばこ・飼料製造業,23,愛知県,119,3978,18693,246322,476904,142274
2020000000,2020,10,飲料・たばこ・飼料製造業,24,三重県,79,1844,7137,51374,101581,35930
2020000000,2020,10,飲料・たばこ・飼料製造業,25,滋賀県,56,1382,6321,49155,110179,43004
2020000000,2020,10,飲料・たばこ・飼料製造業,26,京都府,101,3546,17018,145556,749588,166185
2020000000,2020,10,飲料・たばこ・飼料製造業,27,大阪府,65,1402,6394,72252,262794,109650
2020000000,2020,10,飲料・たばこ・飼料製造業,28,兵庫県,130,5481,25924,216989,515088,215874
2020000000,2020,10,飲料・たばこ・飼料製造業,29,奈良県,41,721,2473,6601,14094,5456
2020000000,2020,10,飲料・たばこ・飼料製造業,30,和歌山県,30,1401,5590,22950,46217,18849
2020000000,2020,10,飲料・たばこ・飼料製造業,31,鳥取県,38,848,3006,10604,25128,11407
2020000000,2020,10,飲料・たばこ・飼料製造業,32,島根県,45,673,1953,5867,14757,7529
2020000000,2020,10,飲料・たばこ・飼料製造業,33,岡山県,71,1499,6613,98082,207734,62078
2020000000,2020,10,飲料・たばこ・飼料製造業,34,広島県,73,1475,6013,33523,56053,14285
2020000000,2020,10,飲料・たばこ・飼料製造業,35,山口県,32,1074,4540,24739,44434,12361
2020000000,2020,10,飲料・たばこ・飼料製造業,36,徳島県,15,431,1733,8753,14824,5018
2020000000,2020,10,飲料・たばこ・飼料製造業,37,香川県,16,234,997,25942,32486,6226
